palavra,grau
zuno,5
zuni,5
zune,5
zuna,6
zona,5
zero,6
zere,5
zera,14
zelo,9
zele,12
zela,13
zebu,0
zaga,6
xara,9
xale,5
vovo,6
voto,12
vote,11
vota,13
voou,4
voos,4
voga,7
voes,11
voem,10
voei,8
voce,5
voas,12
voar,6
voam,10
voai,7
vivo,10
vivi,3
vive,9
viva,10
viso,11
vise,7
visa,9
viro,12
vire,10
vira,18
vimo,10
vila,8
viis,3
viga,12
vies,7
vier,1
vide,9
vida,9
vice,5
vias,13
viao,8
viam,8
vexo,11
vexe,6
vexa,9
veus,7
veto,14
vete,10
veta,15
vera,19
vens,3
vemo,13
velo,15
vele,15
vela,20
vejo,9
veja,9
veio,14
veia,14
veem,3
vedo,12
vede,13
veda,12
vazo,9
vaze,7
vaza,8
vaso,9
varo,14
vare,9
vara,18
vaos,6
vamo,12
valo,17
vali,7
vale,12
vala,18
vais,11
vaio,15
vaie,8
vaia,15
vago,14
vagi,3
vaga,15
vaca,13
uvas,3
util,0
usou,1
usos,3
uses,5
usem,4
usei,3
usas,9
usar,3
usam,5
usai,4
urso,5
ursa,6
urro,6
urre,4
urra,7
urna,5
urjo,4
urja,5
urgi,2
urdo,7
urdi,5
urde,5
urda,8
unto,2
unte,5
unta,5
uniu,4
unis,7
unir,4
unia,6
unha,2
ungi,2
unge,2
unes,5
unem,3
unas,7
unam,3
umas,6
uivo,4
uive,4
uiva,4
tupi,1
tupa,4
tudo,5
tubo,3
tuas,8
trio,3
tres,6
trem,4
traz,2
tras,9
trai,4
toso,12
tose,10
tosa,15
toro,15
tora,19
topo,12
tope,7
topa,15
tons,5
tona,14
tomo,15
tome,11
toma,16
tolo,14
tola,17
toga,12
todo,15
toda,14
toco,16
toca,21
tive,6
tito,15
tita,10
tiro,13
tire,8
tira,17
tipo,8
tios,4
tino,14
tini,4
tine,8
tina,11
time,8
tifo,7
tido,12
tida,7
tias,11
teve,9
teus,7
teto,11
teta,14
teso,8
tese,9
tesa,12
tera,20
teor,1
tens,4
temo,12
temi,7
teme,12
tema,13
tele,14
tela,19
teia,12
teco,12
teci,4
tece,7
teca,16
tear,3
taxo,7
taxi,3
taxe,4
taxa,8
tatu,1
tato,17
tara,17
tapo,12
tape,8
tapa,14
talo,13
tala,16
tais,6
taco,15
taca,16
taba,7
supo,6
suou,2
suor,2
sumo,11
sumi,6
suma,11
sujo,11
suje,3
suja,11
sugo,9
suga,8
sues,4
suem,6
suei,6
suco,12
subo,10
subi,6
suba,7
suas,11
suar,7
suam,5
suai,7
sovo,11
sove,8
sova,12
soro,13
sope,8
sopa,11
soou,4
sons,7
sono,12
somo,14
some,11
soma,15
solo,15
sole,13
sola,17
soja,10
sois,9
sofa,10
soes,12
soem,11
soei,9
soda,12
soco,16
soca,20
sobe,6
soas,13
soar,7
soam,10
soai,8
sito,14
sita,10
siso,10
siri,0
sino,16
sina,8
silo,10
sigo,11
siga,10
sido,10
sexo,8
seus,7
sete,8
seta,14
sera,17
seno,12
semi,4
selo,15
sele,15
sela,19
seja,9
seis,8
seio,13
sede,11
seda,10
seco,13
seca,13
sebo,8
sebe,7
saro,13
sare,9
sara,19
sapo,11
sape,10
saos,5
sano,15
sane,11
sana,15
sala,17
saiu,5
sais,13
sair,7
saio,15
saia,17
saga,15
safo,8
safe,7
safa,10
saem,3
saco,18
saci,2
saca,19
sabe,9
rumo,11
rume,10
ruma,14
rujo,11
ruja,12
ruiu,4
ruis,8
ruir,4
ruim,4
ruia,12
rugo,9
rugi,6
ruga,10
rufo,7
rufe,7
rufa,8
rude,8
rubi,2
ruas,10
roxo,8
roxa,11
roto,18
rota,21
rolo,15
role,14
rola,17
roia,14
rogo,13
roge,9
roga,16
roeu,6
roes,11
roer,7
roem,12
roei,9
rodo,15
rode,11
roda,14
roco,16
roce,9
roca,22
robo,9
roas,11
roam,8
rixa,10
rito,17
riso,11
rira,17
ripa,9
rios,5
rins,3
rimo,15
rime,9
rima,15
rijo,11
rija,12
rifo,11
rife,6
rifa,11
riem,5
rido,12
ride,9
rico,12
rica,15
rias,14
riam,8
rezo,8
reze,8
reza,7
revi,5
reve,11
reus,7
reto,16
rete,13
reta,16
repo,9
rena,8
remo,17
remi,9
reme,14
rema,14
reli,4
rele,18
rejo,12
reja,11
reis,6
rego,15
regi,7
rege,11
rega,14
rede,16
real,1
rato,22
rata,20
raso,12
rasa,10
raro,14
rara,18
rapo,15
rape,9
rapa,15
ramo,15
ralo,18
rale,12
rala,18
rajo,14
raje,6
raja,15
raiz,3
raio,16
raie,8
raia,18
raca,17
rabo,13
raas,3
quis,2
quer,1
quem,2
quao,1
qual,2
puxo,8
puxe,6
puxa,7
puto,9
puta,9
puro,14
pure,12
pura,17
puno,12
puni,5
pune,10
puna,11
puma,10
pulo,10
pule,8
pula,14
pude,8
puas,7
psiu,0
proa,1
povo,11
pote,9
poso,13
pose,11
posa,11
poro,16
pora,15
pomo,12
polo,15
poli,1
pois,6
poes,10
poem,8
podo,14
pode,8
poda,9
poco,17
poca,16
pneu,0
pivo,8
piso,13
pise,6
pisa,10
pira,17
pipi,3
pipa,7
piou,4
pios,7
pior,3
pino,14
pifo,9
pife,4
pifa,7
pies,9
piem,7
piei,6
pico,13
pica,12
pias,15
piar,7
piao,12
piam,10
piai,8
peso,12
pese,9
pesa,12
peru,1
pera,21
peno,15
pene,9
pena,10
pelo,16
pele,15
pela,18
pejo,8
pego,12
pega,11
pedi,4
pede,13
peco,14
peca,13
peao,8
paus,4
pato,18
pata,14
paro,16
pari,4
pare,8
papo,12
pape,7
papa,11
pano,14
pais,10
paio,12
